,indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,almacen,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar
0,01/01/2017,27858.9,27477.3,27858872.08,27591730.13,267141.956,27858872.08,10230100.13,6864575.384,9047205.493,27858872.08,18043789.16,6705475.318,340777.3882,4397543.671,772371.8476,1838507.096
1,01/02/2017,25994.2,25223.4,25994200.17,25749179.4,245020.769,25994200.17,9719067.341,6438494.011,8309150.301,25994200.17,17656879.08,6576624.803,328288.6951,4053283.771,672290.5165,1257661.903
2,01/03/2017,27780.0,26334.3,27780006.52,27472228.72,307777.804,27780006.52,10244442.51,6908522.962,8845010.494,27780006.52,19186248.05,7437264.174,353335.1548,4354197.611,667696.6653,1305674.917
3,01/04/2017,29134.3,27045.9,29134272.22,28827479.49,306792.733,29134272.22,10312632.37,7454251.8,9458166.682,29134272.22,20257135.1,8211244.093,359694.4537,4355706.646,838948.2458,1535726.345
4,01/05/2017,27969.0,25631.9,27969004.68,27569311.41,399693.262,27969004.68,10147613.34,6735747.319,9220929.862,27969004.68,18904574.4,7651058.084,336568.0085,4206101.605,915895.1498,1824462.036
5,01/06/2017,29132.7,26365.4,29132712.74,28763865.42,368847.326,29132712.74,10565493.5,7337456.597,9196110.463,29132712.74,19601615.8,7911936.245,345114.1199,4277889.539,1001572.002,1893542.062
6,01/07/2017,31182.3,27819.4,31182302.46,30815311.77,366990.683,31182302.46,10905912.74,8183012.318,10162899.88,31182302.46,20882660.95,8482567.662,380008.1679,4599798.334,1026743.496,1995091.144
8,01/09/2017,30521.5,26404.3,30521506.2,30135595.7,385910.498,30521506.2,10789170.33,7888243.177,9795878.643,30521506.2,21025932.94,8319868.332,362573.6633,4708171.561,740572.717,1673423.55
10,01/11/2017,33629.0,28425.3,33628982.66,33122387.95,506594.7055,33628982.66,11657995.8,8324348.807,12553464.11,33628982.66,21967173.4,8282231.901,369678.3403,4988358.592,864815.7013,2729390.081
11,01/12/2017,40766.3,34084.5,40766322.1,40320285.28,446036.8247,40766322.1,13710305.37,11070098.74,14576008.24,40766322.1,26888567.26,9667850.147,476275.0587,5239243.108,1278355.018,2857322.674
12,01/01/2018,32479.2,26736.7,3208.00557,32103107.86,376100.1496,32479208.01,11705433.57,8391851.736,11256746.65,32479208.01,21415403.1,7836896.414,392859.4821,4989430.335,931581.0564,1999948.566
26,01/03/2019,51065.7,24647.7,51065694.25,50347782.68,717911.5715,51065694.25,17737278.5,13685678.1,17969551.88,51065694.25,35639253.95,13664374.99,560791.4093,7753557.687,1250658.574,2294642.27
27,01/04/2019,49621.4,23073.8,49621409.28,48939565.17,681844.104,49621409.28,17102015.74,13152280.51,17736333.21,49621409.28,35631833.0,14448162.66,539774.582,7347464.877,1179040.514,2005702.657
28,01/05/2019,50778.3,22852.1,50778299.91,49813853.04,964446.8743,50778299.91,17247751.27,13838777.26,18013021.92,50778299.91,35586722.0,14391198.42,543928.4604,7602583.365,1504788.008,2486484.832
29,01/06/2019,54413.4,23803.4,54413419.61,53591716.25,821703.3617,54413419.61,17995550.11,15507030.32,19225537.23,54413419.61,37819361.45,15319207.31,590336.9224,8048845.873,1826746.711,2810683.083
30,01/07/2019,55044.5,23580.1,55044482.26,54121341.62,923140.633,55044482.26,18548992.46,15609905.91,19194608.05,55044482.26,38131665.01,15602920.27,584032.4124,7868920.347,1715793.102,3030760.221
31,01/08/2019,59672.1,24329.9,59672104.46,58647926.48,1024177.978,59672104.46,19745340.25,16044555.34,21781404.02,59672104.46,41692727.53,17125415.37,617698.5667,8632826.213,1208097.676,3073567.951
32,01/09/2019,57885.3,22144.7,57885306.41,56887830.18,997476.2268,57885306.41,19561438.28,15872044.55,20612694.85,57885306.41,41090401.96,16428217.44,605838.353,8902170.018,1202878.618,2719800.957
33,01/10/2019,66325.6,24652.7,66325579.59,65144928.12,1180651.478,66325579.59,21884744.73,17749686.58,24432918.57,66325579.59,45492474.3,17942183.89,669988.3783,10075045.16,1410451.356,4712825.328
34,01/11/2019,67943.7,24270.7,67943710.19,66454203.74,1489506.445,67943710.19,22763201.55,16506702.37,26455726.0,67943710.19,46073845.36,17296630.39,679345.7818,10247962.26,1572523.614,4829969.163
35,01/12/2019,83524.6,29147.9,83524644.29,82246180.68,1278463.614,83524644.29,27960470.5,21105019.72,31600065.93,83524644.29,57646427.96,20776781.42,883049.9169,11316019.27,2197595.469,4638017.913
36,01/01/2020,70145.0,23483.3,70145010.27,69104127.61,1040882.661,70145010.27,25121140.42,16421681.81,26279836.48,70145010.27,47496667.89,17489114.38,743666.0236,11066696.53,1775180.164,3768285.224
37,01/02/2020,72494.4,23702.0,72494433.66,71514175.15,980258.5147,72494433.66,23982883.64,18677850.86,27241035.99,72494433.66,50272765.35,18718680.52,770114.0015,10866053.98,1867271.736,3407081.45
