,camas
0,2.0
1,14.0
2,7.0
3,1.0
4,1.0
5,5.0
6,4.0
7,2.0
8,3.0
9,3.0
10,4.0
11,1.0
12,1.0
13,1.0
14,14.0
15,1.0
16,2.0
17,2.0
18,2.0
19,3.0
20,2.0
21,5.0
22,2.0
23,2.0
24,1.0
25,2.0
26,2.0
27,3.0
28,1.0
29,3.0
30,3.0
31,1.0
32,1.0
33,2.0
34,4.0
35,1.0
36,1.0
37,1.0
38,1.0
39,2.0
40,Sin info
41,3.0
42,2.0
43,9.0
44,1.0
45,1.0
46,1.0
47,6.0
48,2.0
49,4.0
50,4.0
51,Sin info
52,2.0
53,2.0
54,1.0
55,3.0
56,1.0
57,3.0
58,2.0
59,3.0
60,2.0
61,4.0
62,3.0
63,1.0
64,3.0
65,2.0
66,2.0
67,1.0
68,2.0
69,1.0
70,1.0
71,4.0
72,1.0
73,3.0
74,1.0
75,2.0
76,1.0
77,6.0
78,3.0
79,1.0
80,1.0
81,4.0
82,3.0
83,Sin info
84,1.0
85,2.0
86,3.0
87,5.0
88,1.0
89,4.0
90,2.0
91,2.0
92,2.0
93,2.0
94,3.0
95,4.0
96,2.0
97,2.0
98,1.0
99,3.0
100,Sin info
101,1.0
102,3.0
103,3.0
104,1.0
105,1.0
106,6.0
107,2.0
108,2.0
109,1.0
110,2.0
111,3.0
112,4.0
113,2.0
114,2.0
115,5.0
116,4.0
117,5.0
118,1.0
119,Sin info
120,4.0
121,4.0
122,1.0
123,2.0
124,1.0
125,3.0
126,2.0
127,4.0
128,4.0
129,3.0
130,2.0
131,1.0
132,3.0
133,1.0
134,6.0
135,2.0
136,1.0
137,2.0
138,2.0
139,4.0
140,1.0
141,3.0
142,1.0
143,Sin info
144,2.0
145,3.0
146,2.0
147,1.0
148,2.0
149,1.0
150,1.0
151,2.0
152,4.0
153,4.0
154,2.0
155,4.0
156,Sin info
157,4.0
158,1.0
159,2.0
160,3.0
161,3.0
162,3.0
163,4.0
164,3.0
165,2.0
166,3.0
167,3.0
168,2.0
169,4.0
170,1.0
171,3.0
172,4.0
173,1.0
174,5.0
175,1.0
176,1.0
177,4.0
178,1.0
179,1.0
180,3.0
181,1.0
182,1.0
183,1.0
184,1.0
185,2.0
186,2.0
187,3.0
188,2.0
189,3.0
190,1.0
191,1.0
192,2.0
193,7.0
194,4.0
195,2.0
196,3.0
197,4.0
198,1.0
199,4.0
200,2.0
201,2.0
202,2.0
203,2.0
204,4.0
205,1.0
206,1.0
207,1.0
208,2.0
209,Sin info
210,1.0
211,3.0
212,1.0
213,4.0
214,Sin info
215,3.0
216,4.0
217,2.0
218,1.0
219,4.0
220,3.0
221,3.0
222,4.0
223,1.0
224,1.0
225,3.0
226,3.0
227,3.0
228,3.0
229,3.0
230,3.0
231,2.0
232,7.0
233,1.0
234,1.0
235,4.0
236,2.0
237,Sin info
238,1.0
239,1.0
240,5.0
241,5.0
242,5.0
243,5.0
244,5.0
245,5.0
246,1.0
247,4.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,2.0
254,2.0
255,3.0
256,1.0
257,2.0
258,2.0
259,Sin info
260,1.0
261,Sin info
262,3.0
263,4.0
264,2.0
265,2.0
266,4.0
267,2.0
268,2.0
269,4.0
270,3.0
271,2.0
272,2.0
273,2.0
274,Sin info
275,3.0
276,1.0
277,1.0
278,6.0
279,1.0
280,1.0
281,1.0
282,Sin info
283,2.0
284,3.0
285,2.0
286,2.0
287,2.0
288,2.0
289,2.0
290,1.0
291,2.0
292,5.0
293,2.0
294,3.0
295,3.0
296,1.0
297,3.0
298,4.0
299,1.0
300,2.0
301,5.0
302,1.0
303,1.0
304,1.0
305,5.0
306,1.0
307,3.0
308,4.0
309,5.0
310,3.0
311,3.0
312,2.0
313,3.0
314,2.0
315,2.0
316,3.0
317,5.0
318,1.0
319,1.0
320,2.0
321,3.0
322,2.0
323,Sin info
324,3.0
325,2.0
326,1.0
327,3.0
328,2.0
329,1.0
330,2.0
331,3.0
332,4.0
333,2.0
334,3.0
335,3.0
336,2.0
