,host_is_superhost
0,f
1,f
2,f
3,No mencionado
4,f
5,f
6,t
7,t
8,t
9,f
10,f
11,f
12,f
13,No mencionado
14,f
15,f
16,t
17,t
18,t
19,f
20,No mencionado
21,f
22,f
23,f
24,t
25,f
26,f
27,f
28,t
29,t
30,t
31,t
32,f
33,t
34,f
35,f
36,t
37,f
38,t
39,t
40,t
41,f
42,t
43,t
44,f
45,t
46,f
47,f
48,t
49,f
50,t
51,f
52,t
53,t
54,t
55,t
56,t
57,f
58,t
59,f
60,f
61,t
62,f
63,f
64,t
65,t
66,f
67,f
68,f
69,f
70,f
71,f
72,t
73,f
74,t
75,t
76,f
77,t
78,t
79,f
80,t
81,t
82,t
83,f
84,t
85,f
86,f
87,t
88,f
89,f
90,f
91,t
92,f
93,f
94,t
95,f
96,f
97,f
98,f
99,t
100,t
101,t
102,f
103,t
104,t
105,f
106,f
107,f
108,f
109,f
110,f
111,f
112,t
113,f
114,t
115,f
116,f
117,t
118,f
119,f
120,f
121,f
122,t
123,f
124,f
125,t
126,f
127,f
128,f
129,f
130,f
131,t
132,t
133,f
134,t
135,f
136,f
137,f
138,t
139,t
140,t
141,t
142,f
143,t
144,t
145,t
146,t
147,f
148,t
149,f
150,t
151,t
152,t
153,t
154,f
155,t
156,t
157,f
158,f
159,f
160,f
161,f
162,f
163,f
164,t
165,f
166,t
167,f
168,t
169,t
170,t
171,t
172,f
173,t
174,f
175,t
176,f
177,f
178,t
179,f
180,f
181,f
182,f
183,t
184,t
185,t
186,f
187,t
188,t
189,t
190,f
191,f
192,f
193,t
194,t
195,t
196,t
197,f
198,f
199,t
200,t
201,t
202,t
203,t
204,f
205,t
206,f
207,f
208,f
209,t
210,t
211,f
212,t
213,t
214,f
215,t
216,t
217,t
218,No mencionado
219,f
220,f
221,f
222,f
223,t
224,f
225,f
226,f
227,t
228,f
229,t
230,t
231,f
232,f
233,t
234,f
235,f
236,t
237,t
238,f
239,f
240,f
241,f
242,f
243,f
244,f
245,f
246,f
247,f
248,f
249,t
250,f
251,f
252,f
253,f
254,t
255,t
256,t
257,No mencionado
258,f
259,f
260,f
261,f
262,f
263,f
264,f
265,f
266,t
267,f
268,f
269,t
270,f
271,f
272,t
273,f
274,No mencionado
275,f
276,f
277,t
278,f
279,t
280,f
281,t
282,t
283,t
284,f
285,f
286,f
287,f
288,t
289,f
290,f
291,t
292,t
293,f
294,f
295,t
296,f
297,t
298,t
299,t
300,t
301,f
302,f
303,f
304,t
305,f
306,t
307,f
308,f
309,t
310,t
311,f
312,f
313,f
314,f
315,f
316,t
317,f
318,t
319,f
320,t
321,f
322,f
323,f
324,f
325,t
326,f
327,t
328,t
329,t
330,t
331,f
332,f
333,No mencionado
334,f
335,t
336,No mencionado
337,f
338,f
339,f
340,f
341,f
342,f
343,f
344,f
345,t
346,f
347,t
348,f
349,t
350,t
351,t
352,t
353,t
354,f
355,No mencionado
356,f
357,f
358,f
359,t
360,t
361,f
362,f
363,t
364,t
365,t
366,t
367,f
368,t
369,f
370,t
371,t
372,f
373,t
374,f
375,t
376,f
377,f
378,f
379,f
380,t
381,t
382,t
383,f
384,t
385,f
386,t
387,t
388,t
389,f
390,No mencionado
391,t
392,t
393,t
394,t
395,f
396,t
397,t
398,t
399,f
400,f
401,f
402,t
403,t
404,t
405,t
406,t
407,t
408,t
409,f
410,t
411,t
412,f
413,t
414,f
415,t
416,f
417,f
418,t
419,f
420,f
421,f
422,t
423,f
424,f
425,f
426,f
427,No mencionado
428,t
429,f
430,f
431,f
432,f
433,f
434,t
435,t
436,t
437,f
438,t
439,f
440,f
441,t
442,f
443,No mencionado
444,f
445,t
446,f
447,t
448,No mencionado
449,t
450,t
451,t
452,t
453,t
454,t
455,f
456,No mencionado
457,t
458,f
459,t
460,f
461,t
462,f
463,f
464,f
465,f
466,f
467,f
468,f
469,t
470,t
471,t
472,f
473,t
474,t
475,t
476,f
477,f
478,t
479,t
480,f
481,t
482,t
483,f
484,f
485,t
486,f
487,No mencionado
488,t
489,f
490,f
491,f
492,t
493,f
494,t
495,t
496,t
497,t
498,No mencionado
499,f
500,f
501,No mencionado
502,f
503,t
504,f
505,t
506,f
507,t
508,f
509,t
510,f
511,t
512,t
513,f
514,t
515,f
516,f
517,t
518,f
519,f
520,f
521,t
522,t
523,f
524,t
525,t
526,f
527,No mencionado
528,t
529,f
530,f
531,f
532,t
533,f
534,f
535,f
536,t
537,t
538,t
539,t
540,f
541,t
542,t
543,f
544,t
545,f
546,t
547,No mencionado
548,t
549,f
550,f
551,t
552,t
553,f
554,f
555,f
556,f
557,f
558,f
559,f
560,f
561,f
562,f
563,f
564,f
565,t
566,f
567,f
568,f
569,f
570,f
571,f
572,f
573,f
574,f
575,f
576,f
577,f
578,f
579,f
580,f
581,f
582,f
583,f
584,f
585,f
586,t
587,f
588,f
589,f
590,f
591,f
592,t
593,No mencionado
594,f
595,f
596,t
597,f
598,t
599,t
600,f
601,f
602,t
603,t
604,f
605,f
606,f
607,t
608,t
609,t
610,f
611,t
612,f
613,t
614,No mencionado
615,f
616,t
617,f
618,f
619,f
620,f
621,f
622,f
623,f
624,f
625,f
626,f
627,f
628,No mencionado
629,f
630,f
631,f
632,t
633,t
634,f
635,f
636,t
637,f
638,No mencionado
639,t
640,f
641,f
642,f
643,t
644,t
645,f
646,f
647,f
648,t
649,f
650,t
651,t
652,f
653,f
654,f
655,f
656,t
657,t
658,f
659,t
660,f
661,f
662,t
663,t
664,f
665,f
666,t
667,No mencionado
668,t
669,t
670,t
671,f
672,No mencionado
673,f
674,f
675,f
676,f
677,f
678,f
679,f
680,f
681,f
682,f
683,t
684,t
685,f
686,t
687,f
688,t
689,t
690,t
691,f
692,t
693,t
694,f
695,f
696,t
697,f
698,f
699,f
700,f
701,f
702,f
703,f
704,f
705,f
706,f
707,f
708,f
709,t
710,t
711,t
712,t
713,f
714,f
715,t
716,t
717,f
718,f
719,No mencionado
720,f
721,f
722,f
723,t
724,t
725,f
726,t
727,t
728,f
729,f
730,t
731,t
732,f
733,No mencionado
734,f
735,t
736,f
737,t
738,t
739,f
740,f
741,f
742,t
743,t
744,t
745,t
746,f
747,f
748,t
749,f
750,f
751,f
752,f
753,f
754,f
755,f
756,f
757,f
758,f
759,f
760,f
761,f
762,t
763,t
764,t
765,f
766,t
767,f
768,t
769,f
770,f
771,t
772,f
773,f
774,t
775,f
776,f
777,f
778,f
779,t
780,t
781,f
782,f
783,f
784,t
785,t
786,f
787,f
788,t
789,f
790,t
791,f
792,t
793,f
794,f
795,t
796,t
797,t
798,t
799,f
800,t
801,f
802,f
803,f
804,f
805,t
806,f
807,t
808,f
809,t
810,f
811,f
812,t
813,f
814,t
815,t
816,f
817,f
818,f
819,t
820,f
821,f
822,No mencionado
823,f
824,f
825,f
826,t
827,No mencionado
828,t
829,f
830,f
831,t
832,f
833,f
834,f
835,f
836,f
837,t
838,t
839,t
840,f
841,t
842,f
843,f
844,f
845,t
846,f
847,t
848,No mencionado
849,f
850,t
851,t
852,t
853,f
854,f
855,f
856,f
857,f
858,t
859,f
860,f
861,f
862,t
863,t
864,f
865,f
866,t
867,f
868,t
869,f
870,f
871,f
872,f
873,t
874,t
875,t
876,f
877,f
878,t
879,f
880,t
881,t
882,f
883,f
884,f
885,f
886,f
887,f
888,t
889,f
890,f
891,f
892,f
893,f
894,f
895,t
896,f
897,t
898,f
899,f
900,t
901,f
902,f
903,f
904,f
905,f
906,f
907,f
908,f
909,f
910,f
911,f
912,No mencionado
913,f
914,f
915,t
916,f
917,f
918,t
919,f
920,t
921,f
922,t
923,t
924,t
925,f
926,f
927,t
928,t
929,f
930,t
931,f
932,f
933,t
934,f
935,t
936,t
937,t
938,t
939,f
940,f
941,t
942,t
943,f
944,f
945,f
946,f
947,f
948,t
949,f
950,f
951,t
952,t
953,t
954,f
955,f
956,f
957,t
958,No mencionado
959,f
960,No mencionado
961,t
962,f
963,t
964,f
965,f
966,f
967,t
968,t
969,t
970,t
971,t
972,t
973,f
974,f
975,f
976,f
977,f
978,f
979,f
980,f
981,No mencionado
982,t
983,f
984,f
985,f
986,f
987,f
988,f
989,f
990,t
991,f
992,f
993,t
994,t
995,f
996,t
997,t
998,t
999,f
1000,f
1001,f
1002,t
1003,t
1004,f
1005,t
1006,f
1007,f
1008,f
1009,f
1010,f
1011,f
1012,t
1013,f
1014,f
1015,t
1016,f
1017,f
1018,f
1019,f
1020,f
1021,t
1022,f
1023,f
1024,f
1025,f
1026,f
1027,f
1028,f
1029,f
1030,t
1031,t
1032,f
1033,No mencionado
1034,t
1035,f
1036,t
1037,f
1038,t
1039,f
1040,f
1041,f
1042,f
1043,f
1044,f
1045,t
1046,f
1047,f
1048,f
1049,f
1050,f
1051,f
1052,f
1053,t
1054,f
1055,f
1056,t
1057,t
1058,f
1059,f
1060,f
1061,f
1062,f
1063,t
1064,f
1065,t
1066,t
1067,t
1068,t
1069,f
1070,t
1071,t
1072,f
1073,t
1074,f
1075,f
1076,f
1077,t
1078,f
1079,f
1080,f
1081,f
1082,f
1083,t
1084,t
1085,f
1086,t
1087,f
1088,f
1089,t
1090,f
1091,t
1092,t
1093,f
1094,t
1095,f
1096,f
1097,f
1098,f
1099,f
1100,f
1101,t
1102,f
1103,t
1104,f
1105,t
1106,f
1107,f
1108,t
1109,f
1110,f
1111,f
1112,t
1113,t
1114,t
1115,f
1116,t
1117,No mencionado
1118,f
1119,f
1120,f
1121,f
1122,f
1123,f
1124,f
1125,f
1126,f
1127,No mencionado
1128,t
1129,t
1130,f
1131,f
1132,t
1133,No mencionado
1134,f
1135,f
1136,t
1137,t
1138,f
1139,t
1140,f
1141,t
1142,t
1143,t
1144,f
1145,t
1146,f
1147,No mencionado
1148,f
1149,t
1150,f
1151,t
1152,f
1153,t
1154,t
1155,t
1156,f
1157,No mencionado
1158,t
1159,f
1160,f
1161,f
1162,f
1163,f
1164,f
1165,f
1166,f
1167,f
1168,f
1169,f
1170,f
1171,f
1172,t
1173,t
1174,f
1175,t
1176,f
1177,t
1178,No mencionado
1179,f
1180,f
1181,t
1182,f
1183,f
1184,f
1185,No mencionado
1186,t
