,primera_revisión
0,12/10/2010
1,02/07/2013
2,23/07/2011
3,23/07/2011
4,16/06/2013
5,04/08/2015
6,14/01/2013
7,24/10/2011
8,07/12/2011
9,21/09/2014
10,21/03/2012
11,29/04/2013
12,13/06/2012
13,31/01/2012
14,08/06/2012
15,Sin fecha
16,05/05/2014
17,20/01/2013
18,12/11/2013
19,01/11/2012
20,20/03/2012
21,12/04/2012
22,09/09/2013
23,26/06/2012
24,17/05/2012
25,10/06/2012
26,16/08/2012
27,28/08/2012
28,25/08/2015
29,17/04/2017
30,01/06/2012
31,03/10/2012
32,06/08/2012
33,25/06/2012
34,28/08/2019
35,07/05/2013
36,03/06/2014
37,05/09/2013
38,19/03/2013
39,07/07/2013
40,31/03/2013
41,24/09/2012
42,23/03/2016
43,18/12/2012
44,27/03/2013
45,29/09/2012
46,21/03/2013
47,25/11/2012
48,19/03/2013
49,18/03/2013
50,21/09/2015
51,25/06/2013
52,06/05/2015
53,04/08/2014
54,19/02/2013
55,02/02/2013
56,08/05/2013
57,21/03/2014
58,06/03/2015
59,06/11/2022
60,21/03/2013
61,19/03/2013
62,11/04/2013
63,Sin fecha
64,26/02/2013
65,27/02/2013
66,20/03/2016
67,08/05/2013
68,22/04/2013
69,19/03/2013
70,18/03/2013
71,12/05/2013
72,28/06/2013
73,19/03/2013
74,25/10/2013
75,17/03/2013
76,29/10/2013
77,20/06/2013
78,07/06/2013
79,17/07/2013
80,11/05/2013
81,25/05/2013
82,20/03/2016
83,18/11/2013
84,16/06/2013
85,13/07/2015
86,09/08/2014
87,08/07/2013
88,06/06/2013
89,05/08/2013
90,19/07/2013
91,25/07/2013
92,04/08/2014
93,28/07/2013
94,08/08/2013
95,19/04/2014
96,01/08/2013
97,05/01/2014
98,28/10/2014
99,16/10/2013
100,10/11/2013
101,20/08/2013
102,30/08/2013
103,17/10/2013
104,27/05/2015
105,21/11/2015
106,11/11/2013
107,20/11/2013
108,18/03/2014
109,27/06/2014
110,17/03/2014
111,11/11/2013
112,02/01/2014
113,11/11/2013
114,24/03/2014
115,06/01/2014
116,11/11/2013
117,02/12/2019
118,04/07/2017
119,11/11/2013
120,Sin fecha
121,03/08/2014
122,26/08/2018
123,17/03/2014
124,08/05/2022
125,06/04/2015
126,15/05/2017
127,18/10/2014
128,28/01/2014
129,01/02/2014
130,17/03/2014
131,17/03/2014
132,17/03/2014
133,17/03/2014
134,17/03/2014
135,17/03/2014
136,29/06/2014
137,17/03/2014
138,18/03/2014
139,23/03/2014
140,03/05/2014
141,16/03/2014
142,01/07/2014
143,17/03/2014
144,04/05/2014
145,18/04/2014
146,18/08/2014
147,22/04/2014
148,05/05/2014
149,03/03/2019
150,21/03/2015
151,06/08/2014
152,04/05/2014
153,21/08/2014
154,04/06/2017
155,02/06/2014
156,24/08/2014
157,23/03/2015
158,22/09/2015
159,09/06/2014
160,31/07/2014
161,Sin fecha
162,Sin fecha
163,30/03/2016
164,22/07/2014
165,14/09/2014
166,29/07/2014
167,15/08/2014
168,05/01/2018
169,15/10/2017
170,20/07/2014
171,29/07/2014
172,15/09/2019
173,22/08/2014
174,Sin fecha
175,09/11/2015
