,reseñas_por_mes
0,1.01
1,0.01
2,1.68
3,3.31
4,1.17
5,0.07
6,1.2
7,2.16
8,1.57
9,0.02
10,0.41
11,1.02
12,3.15
13,0.61
14,0.89
15,--
16,1.11
17,1.41
18,0.55
19,0.24
20,4.12
21,1.66
22,0.18
23,1.65
24,2.36
25,1.84
26,1.77
27,0.57
28,0.39
29,0.38
30,1.6
31,0.19
32,2.77
33,0.86
34,0.47
35,0.32
36,1.45
37,3.16
38,2.98
39,1.78
40,0.53
41,1.16
42,0.32
43,2.23
44,2.87
45,6.02
46,0.49
47,0.55
48,0.62
49,0.93
50,0.26
51,2.3
52,1.35
53,1.27
54,2.3
55,2.98
56,2.26
57,0.16
58,0.9
59,2.59
60,0.36
61,0.88
62,1.71
63,--
64,2.34
65,2.93
66,0.75
67,0.25
68,0.1
69,0.1
70,1.08
71,0.07
72,2.09
73,2.26
74,0.37
75,5.83
76,1.15
77,2.38
78,3.3
79,0.25
80,1.97
81,1.03
82,0.85
83,0.05
84,0.71
85,0.95
86,1.07
87,1.72
88,1.91
89,1.55
90,0.41
91,1.17
92,0.36
93,1.07
94,3.07
95,2.07
96,1.36
97,2.68
98,0.42
99,1.47
100,0.1
101,4.2
102,1.68
103,0.36
104,1.91
105,0.62
106,1.25
107,0.86
108,0.9
109,0.19
110,1.23
111,0.39
112,0.44
113,2.28
114,2.28
115,2.18
116,0.48
117,1.01
118,0.66
119,1.16
120,--
121,0.4
122,2.83
123,0.54
124,0.49
125,2.2
126,0.11
127,1.43
128,5.43
129,4.02
130,0.77
131,0.45
132,2.16
133,0.25
134,1.09
135,1.72
136,1.43
137,1.06
138,1.81
139,0.85
140,2.1
141,2.04
142,0.31
143,0.4
144,1.19
145,0.67
146,1.63
147,2.42
148,2.45
149,0.06
150,3.5
151,0.54
152,1.26
153,1.42
154,0.03
155,0.59
156,1.61
157,0.29
158,1.21
159,3.22
160,2.37
161,--
162,--
163,0.03
164,0.82
165,1.0
166,2.68
167,0.81
168,0.84
169,4.43
170,1.82
171,2.39
172,0.23
173,3.79
174,--
175,1.45
176,3.56
177,0.63
178,0.98
179,2.55
180,1.62
181,0.07
182,0.03
183,1.45
184,1.61
185,0.37
186,2.32
187,1.7
188,2.18
189,1.18
190,0.44
191,0.04
192,2.25
193,0.62
194,5.91
195,2.21
196,3.24
197,1.39
198,2.3
199,1.58
200,1.77
201,0.74
202,0.2
203,4.86
204,0.89
205,2.24
206,--
207,0.23
208,1.38
209,1.31
210,5.21
211,0.13
212,2.71
213,1.55
214,0.24
215,2.34
216,1.3
217,1.57
218,2.91
219,3.6
220,0.21
221,0.45
222,0.48
223,1.85
224,1.08
225,1.8
226,2.13
227,1.59
228,1.99
229,3.12
230,3.21
231,1.77
232,1.14
233,0.65
234,1.18
235,0.58
236,2.39
237,0.41
238,0.27
239,0.29
240,0.37
241,0.19
242,0.74
243,0.42
244,0.25
245,0.26
246,0.2
247,1.58
248,2.82
249,0.63
250,1.61
251,1.91
252,0.96
253,3.56
254,1.1
255,0.52
256,2.93
257,0.64
258,1.56
259,1.18
260,0.55
261,1.41
262,0.66
263,0.43
264,2.21
265,1.42
266,4.23
267,1.89
268,0.11
269,1.1
270,2.55
271,0.76
272,--
273,3.82
274,1.38
275,0.23
276,2.29
277,0.16
278,0.63
279,2.36
280,--
281,3.49
282,4.57
283,--
284,1.14
285,0.09
286,3.57
287,1.2
288,3.04
289,1.69
290,0.02
291,1.56
292,2.5
293,2.58
294,--
295,1.06
296,1.72
297,1.1
298,0.72
299,3.94
300,1.51
301,--
302,0.43
303,0.63
304,2.76
305,0.9
306,4.12
307,0.13
308,0.41
309,1.55
310,1.26
311,0.69
312,0.02
313,0.03
314,2.48
315,0.16
316,5.11
317,1.16
318,2.19
319,2.12
320,0.67
321,0.82
322,0.79
323,0.68
324,0.69
325,0.59
