,review_scores_cleanliness
0,4.63
1,5.0
2,4.55
3,4.88
4,4.44
5,4.38
6,4.81
7,4.91
8,4.93
9,5.0
10,4.42
11,4.58
12,4.64
13,4.74
14,4.31
15,0.0
16,4.59
17,4.83
18,4.76
19,4.29
20,4.86
21,4.73
22,4.92
23,4.61
24,4.87
25,4.51
26,4.52
27,4.3
28,4.84
29,4.91
30,4.99
31,4.52
32,4.74
33,4.77
34,4.14
35,4.83
36,4.84
37,4.47
38,4.77
39,4.93
40,4.7
41,4.62
42,4.91
43,4.83
44,4.1
45,4.82
46,4.55
47,4.63
48,4.82
49,4.66
50,4.66
51,4.49
52,4.41
53,4.86
54,4.93
55,4.72
56,4.93
57,4.65
58,4.76
59,4.25
60,4.96
61,4.86
62,4.6
63,0.0
64,4.68
65,4.9
66,4.63
67,4.67
68,4.64
69,5.0
70,4.87
71,4.56
72,4.95
73,4.79
74,4.59
75,4.85
76,4.66
77,4.57
78,4.63
79,4.61
80,4.86
81,4.89
82,4.75
83,4.14
84,4.78
85,4.32
86,4.45
87,4.98
88,4.56
89,4.38
90,4.7
91,4.75
92,4.64
93,4.73
94,4.84
95,4.33
96,4.88
97,4.6
98,4.84
99,4.9
100,5.0
101,4.91
102,4.81
103,4.6
104,4.9
105,4.82
106,4.3
107,4.64
108,4.48
109,4.71
110,4.61
111,4.61
112,4.7
113,4.49
114,4.66
115,4.92
116,4.62
117,4.9
118,4.43
119,4.73
120,0.0
121,4.8
122,4.7
123,4.41
124,4.79
125,4.79
126,4.0
127,4.38
128,4.67
129,4.77
130,4.45
131,4.64
132,4.53
133,4.97
134,4.42
135,4.76
136,4.47
137,4.51
138,4.65
139,4.93
140,4.68
141,4.71
142,4.87
143,4.73
144,4.68
145,4.64
146,4.65
147,4.69
148,4.89
149,4.5
150,4.92
151,4.67
152,4.91
153,4.83
154,4.67
155,4.84
156,4.45
157,4.7
158,4.38
159,4.5
160,4.42
161,0.0
162,0.0
163,4.67
164,4.57
165,4.7
166,4.71
167,4.75
168,4.74
169,4.88
170,4.13
171,4.95
172,4.86
173,4.83
174,0.0
175,4.87
176,4.51
177,4.67
178,4.87
179,4.67
180,4.43
181,4.63
182,4.75
183,4.81
184,4.7
185,4.63
186,4.56
187,4.73
188,4.6
189,4.57
190,4.63
191,4.75
192,4.78
193,4.83
194,4.89
195,4.68
196,4.86
197,4.72
198,4.28
199,4.9
200,4.48
201,4.66
202,4.91
203,4.9
204,4.41
205,4.78
206,0.0
207,4.55
208,3.77
209,4.6
210,4.87
211,4.13
212,4.94
213,4.94
214,4.71
215,4.98
216,4.83
217,4.88
218,4.94
219,4.57
220,4.43
221,4.77
222,4.3
223,4.75
224,4.97
225,4.59
226,4.6
227,4.9
228,4.4
229,4.94
230,4.84
231,4.84
232,4.25
233,4.74
234,4.66
235,4.9
236,4.8
237,4.84
238,4.68
239,4.53
240,4.74
241,4.4
242,4.55
243,4.46
244,4.41
245,4.74
246,5.0
247,4.59
248,4.7
249,4.94
250,4.82
251,4.17
252,4.39
253,4.55
254,4.91
255,4.53
256,4.91
257,4.72
258,4.86
259,4.9
260,5.0
261,4.91
262,4.84
263,4.61
264,4.33
265,4.66
266,4.74
267,4.72
268,3.92
269,4.85
270,4.87
271,4.55
272,0.0
273,4.62
274,4.94
275,4.08
276,4.66
277,4.67
278,4.53
279,4.77
280,0.0
281,4.96
282,4.93
283,0.0
284,4.8
285,4.56
286,4.67
287,4.84
288,4.93
289,4.65
290,5.0
291,4.9
292,4.91
293,4.75
294,0.0
295,4.85
296,4.86
297,4.94
298,4.46
299,4.94
300,4.82
301,0.0
302,4.38
303,4.65
304,4.93
305,4.68
306,4.92
307,4.69
308,4.4
309,4.69
310,4.91
311,4.36
312,5.0
313,4.33
314,4.48
315,4.39
316,4.87
317,4.64
318,4.67
319,4.42
320,4.87
321,4.84
322,4.0
323,4.22
324,4.78
325,4.97
326,4.58
327,4.82
328,4.91
329,4.54
330,4.8
331,4.3
332,4.15
333,4.85
334,4.78
335,4.84
336,4.78
337,4.45
338,4.64
339,4.71
340,4.6
341,4.55
342,4.74
343,4.63
344,5.0
345,4.84
346,4.87
