,review_scores_comunicación
0,4.79
1,5.0
2,4.89
3,4.87
4,4.78
5,4.63
6,4.98
7,4.94
8,4.94
9,5.0
10,4.77
11,4.86
12,4.85
13,4.68
14,4.83
15,0.0
16,4.84
17,4.94
18,4.9
19,4.54
20,4.95
21,4.56
22,4.88
23,4.86
24,4.92
25,4.69
26,4.67
27,4.7
28,4.91
29,4.97
30,4.99
31,4.81
32,4.87
33,4.75
34,4.79
35,4.84
36,4.97
37,4.9
38,4.92
39,4.92
40,4.93
41,4.44
42,5.0
43,4.91
44,4.77
45,4.96
46,4.68
47,4.87
48,4.94
49,4.89
50,4.86
51,4.85
52,4.88
53,4.89
54,4.99
55,4.79
56,4.96
57,4.89
58,4.91
59,4.59
60,5.0
61,4.86
62,4.71
63,0.0
64,4.6
65,4.97
66,4.97
67,4.82
68,4.86
69,5.0
70,4.9
71,5.0
72,4.98
73,4.94
74,4.84
75,4.9
76,4.79
77,4.83
78,4.95
79,4.91
80,4.94
81,4.92
82,4.99
83,4.86
84,4.74
85,4.87
86,4.79
87,4.93
88,4.84
89,4.81
90,4.93
91,4.87
92,4.8
93,4.79
94,4.91
95,4.74
96,4.85
97,4.74
98,4.96
99,4.95
100,5.0
101,4.95
102,4.83
103,4.98
104,4.96
105,4.91
106,4.86
107,4.9
108,4.81
109,4.75
110,4.91
111,4.69
112,4.86
113,4.64
114,4.92
115,4.97
116,4.68
117,4.92
118,4.78
119,4.93
120,0.0
121,4.94
122,4.81
123,4.85
124,4.93
125,4.85
126,4.8
127,4.85
128,4.89
129,4.93
130,4.71
131,4.91
132,4.92
133,4.72
134,4.81
135,4.98
136,4.84
137,4.6
138,4.84
139,4.97
140,4.91
141,4.9
142,4.76
143,4.94
144,4.83
145,4.75
146,4.89
147,4.4
148,4.92
149,5.0
150,4.89
151,4.76
152,4.99
153,4.91
154,5.0
155,4.95
156,4.78
157,4.76
158,4.83
159,4.88
160,4.63
161,0.0
162,0.0
163,5.0
164,4.94
165,4.83
166,4.95
167,4.83
168,4.96
169,4.98
170,4.95
171,4.91
172,5.0
173,4.93
174,0.0
175,4.98
176,4.8
177,4.81
178,4.89
179,4.93
180,4.9
181,4.75
182,4.75
183,4.97
184,4.97
185,4.97
186,4.85
187,4.96
188,4.88
189,4.88
190,4.9
191,5.0
192,4.82
193,4.99
194,4.96
195,4.92
196,4.98
197,4.79
198,4.92
199,4.96
200,4.86
201,4.95
202,4.91
203,4.93
204,4.58
205,4.86
206,0.0
207,4.86
208,4.72
209,4.91
210,4.94
211,4.27
212,4.98
213,4.94
214,4.86
215,5.0
216,4.94
217,4.95
218,4.95
219,4.86
220,4.74
221,4.98
222,4.78
223,4.9
224,4.98
225,4.96
226,4.91
227,4.88
228,4.78
229,4.99
230,4.96
231,4.96
232,4.89
233,4.97
234,4.9
235,4.94
236,4.95
237,4.94
238,4.96
239,4.84
240,4.74
241,4.8
242,4.76
243,4.69
244,4.59
245,4.89
246,4.81
247,4.82
248,4.76
249,4.96
250,4.95
251,4.47
252,4.85
253,4.81
254,4.96
255,4.98
256,4.95
257,4.88
258,4.95
259,4.98
260,5.0
261,4.95
262,4.92
263,4.91
264,4.84
265,4.96
266,4.88
267,4.76
268,4.73
269,4.96
270,4.91
271,4.85
272,0.0
273,4.89
274,4.95
275,4.64
276,4.86
277,4.83
278,4.62
279,4.89
280,0.0
281,4.99
282,4.96
283,0.0
284,4.89
285,4.56
286,4.92
287,4.9
288,4.91
289,4.86
290,4.5
291,4.98
292,4.83
293,4.8
294,0.0
295,4.99
296,4.93
297,4.97
298,4.88
299,4.79
300,4.94
301,0.0
302,4.77
303,4.81
304,4.91
305,4.96
306,4.9
307,4.92
308,4.62
309,4.87
310,4.93
311,4.88
312,5.0
313,4.67
314,4.56
315,4.83
316,4.98
317,4.94
318,4.98
319,4.73
320,4.97
321,4.91
322,4.0
323,4.58
324,4.89
325,4.97
326,4.78
327,4.97
328,4.92
329,4.84
330,4.91
331,4.8
332,4.78
333,4.92
334,4.94
335,4.99
336,4.9
337,4.7
338,4.8
339,4.81
340,4.91
341,4.75
342,4.77
343,4.96
344,5.0
345,4.95
346,4.96
347,4.92
348,4.5
349,4.96
350,4.93
351,4.89
352,4.87
353,4.95
354,4.57
355,4.83
356,4.83
357,4.78
358,4.87
359,4.83
360,4.94
361,5.0
362,4.92
363,5.0
364,4.89
365,4.76
366,4.95
367,4.3
368,4.9
369,4.67
370,4.9
371,4.94
372,4.77
373,4.95
374,4.75
375,4.94
376,4.93
