,review_scores_value
0,4.52
1,4.0
2,4.63
3,4.85
4,4.41
5,4.38
6,4.78
7,4.8
8,4.78
9,4.33
10,4.35
11,4.67
12,4.68
13,4.74
14,4.33
15,0.0
16,4.64
17,4.82
18,4.76
19,4.09
20,4.85
21,4.63
22,4.67
23,4.61
24,4.82
25,4.69
26,4.53
27,4.49
28,4.79
29,4.79
30,4.9
31,4.56
32,4.8
33,4.73
34,4.54
35,4.72
36,4.9
37,4.63
38,4.87
39,4.8
40,4.72
41,4.61
42,4.79
43,4.76
44,4.55
45,4.8
46,4.48
47,4.7
48,4.91
49,4.64
50,4.64
51,4.44
52,4.52
53,4.85
54,4.89
55,4.74
56,4.85
57,4.83
58,4.63
59,4.27
60,4.84
61,4.78
62,4.61
63,0.0
64,4.58
65,4.88
66,4.79
67,4.53
68,4.36
69,4.71
70,4.81
71,4.56
72,4.87
73,4.59
74,4.61
75,4.79
76,4.49
77,4.64
78,4.77
79,4.67
80,4.78
81,4.68
82,4.77
83,4.14
84,4.72
85,4.36
86,4.35
87,4.87
88,4.67
89,4.55
90,4.61
91,4.75
92,4.58
93,4.63
94,4.77
95,4.47
96,4.7
97,4.69
98,4.72
99,4.88
100,4.92
101,4.91
102,4.78
103,4.55
104,4.87
105,4.85
106,4.45
107,4.71
108,4.42
109,4.63
110,4.57
111,4.47
112,4.7
113,4.42
114,4.71
115,4.85
116,4.53
117,4.83
118,4.07
119,4.75
120,0.0
121,4.77
122,4.69
123,4.62
124,4.79
125,4.75
126,4.3
127,4.52
128,4.66
129,4.79
130,4.43
131,4.77
132,4.72
133,4.78
134,4.72
135,4.78
136,4.46
137,4.5
138,4.61
139,4.82
140,4.86
141,4.56
142,4.66
143,4.76
144,4.7
145,4.66
146,4.72
147,4.64
148,4.77
149,4.75
150,4.87
151,4.63
152,4.86
153,4.73
154,4.67
155,4.84
156,4.54
157,4.59
158,4.6
159,4.56
160,4.49
161,0.0
162,0.0
163,4.67
164,4.64
165,4.73
166,4.65
167,4.8
168,4.88
169,4.87
170,4.63
171,4.79
172,4.71
173,4.82
174,0.0
175,4.83
176,4.56
177,4.6
178,4.76
179,4.7
180,4.67
181,4.5
182,4.25
183,4.73
184,4.71
185,4.94
186,4.59
187,4.75
188,4.73
189,4.6
190,4.73
191,5.0
192,4.67
193,4.79
194,4.83
195,4.68
196,4.84
197,4.64
198,4.69
199,4.83
200,4.55
201,4.77
202,4.91
203,4.88
204,4.33
205,4.75
206,0.0
207,4.62
208,4.53
209,4.62
210,4.89
211,4.2
212,4.91
213,4.88
214,4.5
215,4.96
216,4.77
217,4.81
218,4.87
219,4.58
220,4.48
221,4.76
222,4.33
223,4.69
224,4.85
225,4.54
226,4.61
227,4.78
228,4.4
229,4.89
230,4.85
231,4.67
232,4.43
233,4.88
234,4.63
235,4.86
236,4.87
237,4.65
238,4.6
239,4.5
240,4.67
241,4.35
242,4.41
243,4.28
244,4.33
245,4.26
246,4.75
247,4.59
248,4.66
249,4.8
250,4.76
251,4.48
252,4.55
253,4.47
254,4.79
255,4.66
256,4.89
257,4.72
258,4.84
259,4.69
260,4.0
261,4.93
262,4.8
263,4.67
264,4.57
265,4.71
266,4.69
267,4.7
268,4.25
269,4.76
270,4.78
271,4.74
272,0.0
273,4.56
274,4.84
275,4.35
276,4.57
277,4.5
278,4.07
279,4.78
280,0.0
281,4.94
282,4.83
283,0.0
284,4.63
285,4.44
286,4.7
287,4.88
288,4.76
289,4.62
290,5.0
291,4.8
292,4.68
293,4.57
294,0.0
295,4.84
296,4.73
297,4.85
298,4.59
299,4.75
300,4.83
301,0.0
302,4.66
303,4.72
304,4.75
305,4.83
306,4.82
307,4.69
308,4.4
309,4.63
310,4.83
311,4.28
312,5.0
313,4.33
314,4.54
315,4.33
316,4.89
317,4.59
318,4.76
319,4.45
320,4.79
321,4.61
322,4.0
323,4.38
324,4.83
325,4.83
326,4.61
327,4.84
328,4.81
329,4.57
330,4.7
331,4.3
332,4.35
333,4.82
334,4.6
335,4.81
336,4.78
337,4.48
338,4.56
339,4.0
340,4.45
341,4.41
342,4.65
343,4.71
344,5.0
345,4.7
346,4.92
347,4.63
348,4.5
349,4.85
350,4.68
351,4.75
352,4.66
353,4.84
354,4.86
355,5.0
356,4.29
357,4.45
358,4.79
359,4.78
360,4.84
361,5.0
362,4.69
363,4.94
364,4.67
365,4.64
366,4.86
367,4.2
368,4.73
369,4.57
370,4.68
371,4.79
372,4.62
373,4.77
374,4.47
375,4.8
376,4.53
377,4.48
378,4.77
379,4.28
380,4.89
381,4.73
382,4.65
383,4.6
384,4.72
385,4.68
386,4.76
387,4.47
388,4.72
389,4.51
390,4.8
391,4.64
392,4.84
393,4.8
394,4.79
395,4.52
396,4.85
397,4.72
398,4.83
399,4.4
400,4.68
401,4.56
402,4.89
403,4.71
404,4.74
405,4.74
406,4.65
407,4.68
408,4.9
409,4.64
410,4.81
411,4.93
412,4.73
413,4.73
414,4.65
415,4.88
416,4.62
417,4.58
418,4.83
419,4.75
420,4.6
421,4.4
422,4.8
423,4.62
424,4.64
425,4.7
426,4.74
427,4.76
428,4.85
429,4.75
430,4.66
431,4.77
432,4.58
433,2.0
434,4.73
435,4.77
436,4.85
437,4.66
438,4.72
439,4.47
440,4.54
441,4.82
442,4.18
443,4.89
444,3.33
445,4.8
446,4.67
447,4.68
448,4.73
449,4.64
450,4.91
451,4.83
452,4.79
453,4.94
454,4.41
455,4.39
456,4.77
457,4.76
458,4.0
459,4.98
460,4.76
461,4.94
462,4.62
463,4.67
464,4.78
465,4.0
466,4.78
467,4.26
468,4.57
469,4.81
470,4.44
471,4.75
472,0.0
473,4.65
474,4.85
475,4.86
476,4.92
477,4.61
478,4.92
479,4.54
480,4.55
481,4.86
482,4.72
483,4.61
484,4.19
485,4.85
486,4.46
487,4.53
488,4.7
489,4.58
490,4.65
491,4.36
492,4.57
493,4.66
494,4.66
495,4.78
496,4.69
497,4.84
498,4.72
499,4.54
500,4.25
501,4.65
502,4.69
503,4.93
504,4.21
505,4.92
506,4.44
507,4.73
508,4.62
509,4.81
510,4.76
511,4.98
512,4.78
513,4.61
514,4.68
515,4.75
516,4.75
517,4.76
518,3.0
519,4.77
520,4.68
521,4.94
522,4.86
523,4.9
524,4.9
525,4.91
526,4.56
527,4.7
528,4.56
529,4.75
530,0.0
531,4.54
532,4.84
533,4.56
534,4.72
535,4.91
536,4.72
537,4.66
538,4.84
539,4.89
540,4.66
541,4.6
542,4.71
543,4.74
544,4.73
545,4.67
546,4.95
547,4.42
548,4.7
549,4.31
550,4.3
551,4.8
552,4.9
553,4.62
554,4.2
555,4.42
556,3.8
557,4.6
558,4.38
559,4.57
560,4.6
561,4.43
562,4.55
563,4.31
564,4.61
565,4.76
566,4.59
567,4.56
568,4.4
569,4.61
570,4.68
571,4.67
572,4.67
573,4.56
574,4.56
575,3.57
576,4.52
577,0.0
578,4.55
579,3.67
580,3.67
581,4.78
582,4.46
583,4.59
584,4.59
585,4.42
586,4.67
587,4.68
588,4.58
589,4.35
590,4.63
591,4.65
592,4.86
593,4.88
594,4.72
595,4.83
596,4.97
597,4.69
598,4.78
599,4.81
600,4.7
601,4.12
602,4.73
603,4.75
604,4.71
605,4.73
606,4.71
607,4.86
608,4.9
609,4.89
610,4.76
611,4.83
612,4.81
613,4.71
614,4.85
615,4.57
616,4.64
617,4.59
618,4.62
619,4.73
620,4.0
621,4.67
622,4.17
623,4.29
624,4.71
625,4.21
626,5.0
627,4.25
628,4.77
629,4.64
630,4.86
631,4.76
632,4.79
633,4.54
634,4.65
635,4.4
636,4.69
637,4.78
638,4.77
639,4.72
640,4.17
641,4.39
642,4.74
643,4.89
644,4.84
645,4.41
646,4.97
647,3.79
648,4.84
649,4.35
650,4.77
651,4.77
652,4.48
653,4.46
654,4.33
655,3.0
656,4.73
657,4.77
658,4.76
659,4.62
660,4.38
661,4.32
662,4.81
663,4.88
664,5.0
665,4.35
666,4.85
667,4.69
668,4.77
669,4.88
670,4.71
671,4.74
672,4.68
673,4.88
674,4.53
675,4.93
676,4.68
677,4.88
678,4.73
679,4.75
680,4.3
681,4.69
682,4.74
683,4.75
684,4.85
685,4.75
686,4.76
687,4.64
688,4.84
689,4.75
690,4.87
691,4.33
692,4.84
693,4.84
694,4.28
695,4.64
696,4.75
697,4.45
698,4.44
699,4.7
700,4.61
701,4.7
702,4.62
703,4.67
704,4.64
705,4.62
706,4.19
707,4.68
708,4.7
709,4.65
710,0.0
711,4.86
712,4.67
713,4.74
714,4.56
715,4.76
716,4.67
717,4.51
718,0.0
719,4.65
720,4.6
721,4.45
722,4.9
723,4.81
724,4.93
725,4.58
726,4.6
727,4.65
728,4.67
729,4.78
730,4.52
731,4.9
732,5.0
733,4.79
734,4.49
735,4.89
736,3.44
737,4.8
738,4.85
739,4.71
740,4.88
741,4.75
742,4.87
743,4.72
744,4.82
745,4.8
746,4.83
747,4.67
748,4.89
749,4.89
750,4.81
751,4.06
752,4.58
753,4.86
754,4.67
755,5.0
756,4.45
757,4.5
758,4.54
759,4.5
760,4.68
761,4.6
762,4.87
763,4.78
764,4.84
765,4.41
766,4.65
767,4.8
768,4.87
769,4.8
770,4.35
771,4.53
772,4.4
773,4.6
774,4.71
775,4.67
776,4.75
777,3.8
778,3.9
779,4.75
780,4.81
781,4.48
782,0.0
783,4.57
784,4.71
785,4.68
786,4.25
787,4.53
788,4.89
